id,headline,source,db_category,v1_category,v1_noise,v2_category,v2_noise,changed
"03f33930-1309-432a-8cbd-dfcb99328c9d","बिहार में निबंधन व्यवस्था हुई हाईटेक: अब पेपरलेस रजिस्ट्रेशन, ईमेल व व्हाट्सएप पर दस्तावेज","Main Media","governance","governance",false,"governance",false,""
"a3580307-448d-43b4-aa5e-725c18a91aa6","पटना के कारोबारी को हनी ट्रैप में फंसाया,97 लाख वसूले:  बैग में रखे ट्रैकर से खुला राज, लड़की के प्र","Dainik Bhaskar Bihar","governance","",true,"",true,""
"611ce89d-ecde-4b97-ac20-a2ac4bb8c33b","यूनिवर्सिटीज से राज्यपाल के अधिकार कम करेगी सम्राट सरकार:  प्राइमरी टीचर्स की तरह कंट्रोल होंगे प्रो","Dainik Bhaskar Bihar","education","education",false,"education",false,""
"2e260bba-3120-4f69-8b2e-28e117307bac","पटना में कचरे से बनेगी बिजली-गैस: 126 करोड़ का प्लांट","Prabhat Khabar Bihar","industry","industry",false,"industry",false,""
"7ddc98ef-f23c-4c23-8c6e-94a83eb83fc5","भागलपुर में कोरोना केस, 66 वर्षीय मरीज कोविड वार्ड में","Prabhat Khabar Bihar","healthcare","healthcare",false,"healthcare",false,""
"0ac9ed9c-86c7-4a35-ab34-76444348a516","Sonam Wangchuk hunger strike LIVE: Delhi HC agrees to urgently hear plea by Wangchuk’s wife to shift","The Hindu","governance","",true,"",true,""
"6c0d4d63-1597-44b5-beb2-c738112391ec","बंटी यादव मर्डर केस: पीड़ित परिवार से मिले खेसारी लाल यादव, बोले- पुलिस असली तस्करों को नहीं पकड़ पा","Prabhat Khabar Bihar","governance","",true,"",true,""
"71eb0776-2307-443c-b337-15edcaee7700","Bihar Post-Matric Scholarship 2026–27: Everything Students Need To Know Before Applying","Patna Press","education","education",false,"education",false,""
"f7c7b5c5-077e-401e-a5aa-87c0923750e6","Book Review | When A Journalist Turns Poet: Hamnasheen Finds The Stories That Headlines Cannot Tell","Patna Press","governance","",false,"",false,""
"ea8173d3-7d12-4ef7-9ef9-0b6962316381","Muzaffarpur News: गैस रिसाव में लापरवाही से पल्ला झाड़ रहे जिम्मेदार","Live Hindustan Bihar","environment","",false,"",false,""
"bcfc222f-d39c-433e-bf84-d19e606dae91","Samrat Choudhary Flags Off Rs. 130.88 Crore Link Channel In Sheohar, Lays Foundation For 40 New Proj","Patna Press","infrastructure","",false,"",false,""
"386caa74-a418-4a2b-bb66-e4d575b6b0e3","Bihar Emerges as an ‘Emerging Performer’; Shows Strength in Education and Infrastructure – Insights ","Patna Press","economy","infrastructure",false,"infrastructure",false,""
"1dd2ad58-0f7a-43b4-8d4b-2f5bfc56c2a6","begusarai samrat chaudhary inauguration giriraj singh jan samvad 138480402","Dainik Bhaskar Bihar","governance","education",false,"governance",false,"YES"
"a3ddfa5a-c797-4379-af56-5c5bfea726ce","सीवान सदर अस्पताल डूबा, बक्सर में सड़कें लबालब:  रक्सौल में स्कूल में भरा पानी, नेपाल में बारिश से उ","Dainik Bhaskar Bihar","environment","environment",false,"infrastructure",false,"YES"
"0dc7a4c9-985f-40e4-a667-6d3385f90506","अवैध नर्सिंग होम-मेडिकल स्टोर के पीछे कमरे में ऑपरेशन:  सड़क किनारे लेते ब्लड सैंपल, मेडिकल वेस्ट रोड","Dainik Bhaskar Bihar","governance","healthcare",false,"healthcare",false,""
"bae43fe8-bc3b-4f71-a688-47230905ae7a","नालंदा में बेटा-बहू ने खाया जहर,ससुर फंदे से झूला:  अवैध संबंध में परिवार तबाह, 4 साल के बच्चे को भी","Dainik Bhaskar Bihar","governance","healthcare",false,"healthcare",false,""
"99f7cf7d-5d0b-4cc7-b837-f5d40b7f75d4","पटना का वीकेंड अब खास, ₹2100 में कीजिए हवाई सफर:  पहले दिन 20 लोगों ने की बुकिंग; VIDEO में 1200ft क","Dainik Bhaskar Bihar","governance","governance",false,"governance",false,""
"ff224c0f-99b6-4b74-99e7-e42953f967f7","AI deepfake videos used to extort Rs 97 lakh from Patna hotel owner; three booked","The Print","governance","",true,"",true,""
"41f55e05-77bd-4ac2-912f-150199e40bbf","COVID-19 Returns To Bihar? Fresh Bhagalpur Case Puts Health Department On Alert","Patna Press","healthcare","healthcare",false,"healthcare",false,""
"51d281a0-45ab-43e1-8fc1-3f10d9d7c6c4","अनंत सिंह की जगह मोकामा से अब ये लड़ेंगे विधानसभा चुनाव, बाहुबली ने किया नाम का ऐलान","Prabhat Khabar Bihar","governance","governance",false,"governance",false,""
"68d2bc31-7305-45aa-bebb-55ef76ec407b","बिहार के इंजीनियर की करोड़ों की काली कमाई का खुलासा, जानिए रेड में 3 फ्लैट, 12 जमीन के प्लॉट समेत क्","Prabhat Khabar Bihar","governance","",false,"",false,""
